activity_id,case_id,case_manager_id,activity_type,activity_date,duration_minutes
ACT-0000001,CASE-000001,CM-014,Phone Call,2024-06-19,27
ACT-0000002,CASE-000001,CM-014,Document Request,2024-01-05,26
ACT-0000003,CASE-000001,CM-014,Medical Record Review,2024-03-30,16
ACT-0000004,CASE-000001,CM-014,Email,2025-03-21,20
ACT-0000005,CASE-000001,CM-014,Phone Call,2024-10-30,1
ACT-0000006,CASE-000001,CM-014,Email,2024-07-28,16
ACT-0000007,CASE-000001,CM-014,Demand Drafting,2024-01-19,17
ACT-0000008,CASE-000001,CM-014,Demand Drafting,2024-05-16,16
ACT-0000009,CASE-000001,CM-014,Medical Record Review,2025-05-29,17
ACT-0000010,CASE-000001,CM-014,Demand Drafting,2025-02-04,20
ACT-0000011,CASE-000002,CM-009,Demand Drafting,2025-04-13,17
ACT-0000012,CASE-000002,CM-009,Document Request,2025-04-13,32
ACT-0000013,CASE-000002,CM-009,Document Request,2025-05-04,4
ACT-0000014,CASE-000002,CM-009,SMS,2025-04-02,4
ACT-0000015,CASE-000002,CM-009,Status Update,2025-04-07,1
ACT-0000016,CASE-000003,CM-005,Internal Note,2025-01-17,25
ACT-0000017,CASE-000003,CM-005,Document Request,2025-01-20,15
ACT-0000018,CASE-000003,CM-005,Internal Note,2025-01-17,14
ACT-0000019,CASE-000003,CM-005,Demand Drafting,2025-01-15,12
ACT-0000020,CASE-000003,CM-005,Client Meeting,2025-01-20,26
ACT-0000021,CASE-000003,CM-005,Status Update,2025-01-17,14
ACT-0000022,CASE-000003,CM-005,Phone Call,2025-01-18,23
ACT-0000023,CASE-000004,CM-011,Internal Note,2025-04-08,15
ACT-0000024,CASE-000004,CM-011,Status Update,2024-12-05,1
ACT-0000025,CASE-000004,CM-011,Email,2025-03-09,17
ACT-0000026,CASE-000005,CM-011,Status Update,2024-09-24,15
ACT-0000027,CASE-000005,CM-011,Document Request,2024-06-26,20
ACT-0000028,CASE-000005,CM-011,Document Request,2024-09-05,12
ACT-0000029,CASE-000005,CM-011,Phone Call,2025-01-13,1
ACT-0000030,CASE-000005,CM-011,Status Update,2024-12-23,21
ACT-0000031,CASE-000005,CM-011,SMS,2024-12-04,23
ACT-0000032,CASE-000005,CM-011,Internal Note,2024-11-10,23
ACT-0000033,CASE-000005,CM-011,Document Request,2024-10-16,11
ACT-0000034,CASE-000005,CM-011,SMS,2024-11-27,12
ACT-0000035,CASE-000006,CM-015,Document Request,2025-05-07,10
ACT-0000036,CASE-000006,CM-015,Client Meeting,2024-10-22,16
ACT-0000037,CASE-000006,CM-015,Internal Note,2024-11-14,22
ACT-0000038,CASE-000006,CM-015,Client Meeting,2025-06-11,8
ACT-0000039,CASE-000006,CM-015,Negotiation Call,2025-02-24,19
ACT-0000040,CASE-000006,CM-015,SMS,2024-11-02,14
ACT-0000041,CASE-000006,CM-015,Status Update,2025-02-20,10
ACT-0000042,CASE-000006,CM-015,Phone Call,2024-10-09,20
ACT-0000043,CASE-000006,CM-015,Medical Record Review,2025-03-07,20
ACT-0000044,CASE-000007,CM-018,SMS,2024-09-30,21
ACT-0000045,CASE-000007,CM-018,Phone Call,2024-09-28,1
ACT-0000046,CASE-000007,CM-018,Phone Call,2024-09-10,11
ACT-0000047,CASE-000007,CM-018,Document Request,2024-11-04,18
ACT-0000048,CASE-000007,CM-018,Status Update,2024-12-22,14
ACT-0000049,CASE-000007,CM-018,SMS,2025-02-26,13
ACT-0000050,CASE-000008,CM-004,Medical Record Review,2025-02-15,4
ACT-0000051,CASE-000008,CM-004,Negotiation Call,2025-02-21,21
ACT-0000052,CASE-000008,CM-004,Medical Record Review,2024-10-22,18
ACT-0000053,CASE-000008,CM-004,Client Meeting,2025-01-07,21
ACT-0000054,CASE-000008,CM-004,Medical Record Review,2024-12-30,38
ACT-0000055,CASE-000008,CM-004,Phone Call,2024-11-24,14
ACT-0000056,CASE-000009,CM-002,SMS,2024-04-07,29
ACT-0000057,CASE-000009,CM-002,Negotiation Call,2024-04-25,40
ACT-0000058,CASE-000010,CM-013,Client Meeting,2024-08-19,15
ACT-0000059,CASE-000010,CM-013,Negotiation Call,2024-09-05,26
ACT-0000060,CASE-000010,CM-013,Status Update,2025-03-20,25
ACT-0000061,CASE-000010,CM-013,Medical Record Review,2024-08-05,18
ACT-0000062,CASE-000011,CM-016,Document Request,2024-11-08,8
ACT-0000063,CASE-000011,CM-016,Phone Call,2024-08-24,18
ACT-0000064,CASE-000011,CM-016,Email,2024-11-04,9
ACT-0000065,CASE-000011,CM-016,Medical Record Review,2024-08-19,25
ACT-0000066,CASE-000011,CM-016,Internal Note,2025-01-11,19
ACT-0000067,CASE-000011,CM-016,Medical Record Review,2024-10-07,26
ACT-0000068,CASE-000011,CM-016,Client Meeting,2024-12-27,28
ACT-0000069,CASE-000011,CM-016,Negotiation Call,2024-12-28,6
ACT-0000070,CASE-000011,CM-016,Client Meeting,2024-10-25,22
ACT-0000071,CASE-000011,CM-016,Phone Call,2024-08-11,19
ACT-0000072,CASE-000012,CM-004,Phone Call,2024-06-11,34
ACT-0000073,CASE-000012,CM-004,Client Meeting,2024-02-10,16
ACT-0000074,CASE-000012,CM-004,Medical Record Review,2023-10-25,36
ACT-0000075,CASE-000012,CM-004,Document Request,2023-11-05,14
ACT-0000076,CASE-000013,CM-014,Status Update,2024-09-15,10
ACT-0000077,CASE-000013,CM-014,Negotiation Call,2024-07-31,21
ACT-0000078,CASE-000013,CM-014,Status Update,2024-09-28,20
ACT-0000079,CASE-000013,CM-014,Document Request,2024-08-10,14
ACT-0000080,CASE-000013,CM-014,Document Request,2024-12-23,21
ACT-0000081,CASE-000013,CM-014,Medical Record Review,2024-10-30,9
ACT-0000082,CASE-000013,CM-014,SMS,2024-09-22,26
ACT-0000083,CASE-000013,CM-014,Email,2024-12-04,42
ACT-0000084,CASE-000013,CM-014,Phone Call,2024-09-27,13
ACT-0000085,CASE-000014,CM-011,SMS,2025-02-27,16
ACT-0000086,CASE-000014,CM-011,Status Update,2024-10-18,28
ACT-0000087,CASE-000014,CM-011,Email,2024-05-10,14
ACT-0000088,CASE-000014,CM-011,Status Update,2024-12-10,37
ACT-0000089,CASE-000014,CM-011,Email,2025-02-03,14
ACT-0000090,CASE-000015,CM-016,Document Request,2024-04-14,10
ACT-0000091,CASE-000015,CM-016,Internal Note,2025-01-29,14
ACT-0000092,CASE-000015,CM-016,SMS,2024-11-17,34
ACT-0000093,CASE-000016,CM-009,Status Update,2024-08-12,5
ACT-0000094,CASE-000016,CM-009,Phone Call,2024-04-27,19
ACT-0000095,CASE-000016,CM-009,Negotiation Call,2024-06-02,25
ACT-0000096,CASE-000016,CM-009,Client Meeting,2024-03-04,15
ACT-0000097,CASE-000016,CM-009,Email,2025-01-06,29
ACT-0000098,CASE-000017,CM-006,Client Meeting,2024-01-17,9
ACT-0000099,CASE-000017,CM-006,SMS,2023-11-05,25
ACT-0000100,CASE-000017,CM-006,Medical Record Review,2023-11-22,47
ACT-0000101,CASE-000018,CM-015,Document Request,2024-01-16,16
ACT-0000102,CASE-000018,CM-015,Medical Record Review,2024-03-27,21
ACT-0000103,CASE-000018,CM-015,Phone Call,2023-12-23,12
ACT-0000104,CASE-000018,CM-015,Document Request,2024-03-11,30
ACT-0000105,CASE-000018,CM-015,SMS,2023-09-21,18
ACT-0000106,CASE-000018,CM-015,Client Meeting,2023-10-19,18
ACT-0000107,CASE-000019,CM-010,Negotiation Call,2024-12-08,20
ACT-0000108,CASE-000019,CM-010,Medical Record Review,2024-12-24,30
ACT-0000109,CASE-000019,CM-010,Client Meeting,2025-03-09,1
ACT-0000110,CASE-000019,CM-010,Status Update,2024-11-25,19
ACT-0000111,CASE-000019,CM-010,Negotiation Call,2025-01-05,1
ACT-0000112,CASE-000019,CM-010,Phone Call,2024-09-29,1
ACT-0000113,CASE-000019,CM-010,Demand Drafting,2025-01-27,24
ACT-0000114,CASE-000019,CM-010,Status Update,2024-12-02,8
ACT-0000115,CASE-000020,CM-004,Document Request,2024-04-18,10
