call_id,case_id,client_id,case_manager_id,call_date,direction,duration_seconds,outcome
CALL-0000001,CASE-000001,CL-00001,CM-014,2024-09-15,Inbound,200,Connected
CALL-0000002,CASE-000001,CL-00001,CM-014,2024-03-23,Outbound,105,Connected
CALL-0000003,CASE-000001,CL-00001,CM-014,2024-12-07,Inbound,439,Voicemail
CALL-0000004,CASE-000001,CL-00001,CM-014,2024-07-25,Outbound,321,Connected
CALL-0000005,CASE-000001,CL-00001,CM-014,2024-07-22,Inbound,36,Connected
CALL-0000006,CASE-000002,CL-00002,CM-009,2025-05-01,Outbound,216,Voicemail
CALL-0000007,CASE-000002,CL-00002,CM-009,2025-04-08,Outbound,317,Connected
CALL-0000008,CASE-000002,CL-00002,CM-009,2025-04-05,Outbound,300,No Answer
CALL-0000009,CASE-000003,CL-00003,CM-005,2025-01-14,Inbound,49,Connected
CALL-0000010,CASE-000003,CL-00003,CM-005,2025-01-11,Inbound,220,Connected
CALL-0000011,CASE-000003,CL-00003,CM-005,2025-01-10,Inbound,101,Connected
CALL-0000012,CASE-000003,CL-00003,CM-005,2025-01-13,Inbound,128,Connected
CALL-0000013,CASE-000003,CL-00003,CM-005,2025-01-11,Outbound,31,Connected
CALL-0000014,CASE-000003,CL-00003,CM-005,2025-01-06,Outbound,44,No Answer
CALL-0000015,CASE-000003,CL-00003,CM-005,2025-01-06,Outbound,132,Connected
CALL-0000016,CASE-000003,CL-00003,CM-005,2025-01-15,Inbound,47,Connected
CALL-0000017,CASE-000003,CL-00003,CM-005,2025-01-23,Outbound,6,Connected
CALL-0000018,CASE-000003,CL-00003,CM-005,2025-01-13,Inbound,157,Wrong Number
CALL-0000019,CASE-000003,CL-00003,CM-005,2025-01-18,Outbound,9,Connected
CALL-0000020,CASE-000004,CL-00004,CM-011,2025-01-27,Inbound,190,Voicemail
CALL-0000021,CASE-000004,CL-00004,CM-011,2025-02-11,Inbound,300,Connected
CALL-0000022,CASE-000004,CL-00004,CM-011,2025-04-05,Inbound,639,Connected
CALL-0000023,CASE-000004,CL-00004,CM-011,2025-03-25,Outbound,30,Connected
CALL-0000024,CASE-000004,CL-00004,CM-011,2025-01-24,Outbound,16,No Answer
CALL-0000025,CASE-000004,CL-00004,CM-011,2025-02-04,Outbound,122,Connected
CALL-0000026,CASE-000005,CL-00005,CM-011,2025-01-15,Inbound,50,Callback Requested
CALL-0000027,CASE-000005,CL-00005,CM-011,2025-01-14,Outbound,9,Callback Requested
CALL-0000028,CASE-000005,CL-00005,CM-011,2024-09-21,Outbound,149,Connected
CALL-0000029,CASE-000005,CL-00005,CM-011,2024-08-08,Outbound,241,Voicemail
CALL-0000030,CASE-000005,CL-00005,CM-011,2024-12-20,Inbound,23,Connected
CALL-0000031,CASE-000005,CL-00005,CM-011,2024-07-03,Inbound,107,Connected
CALL-0000032,CASE-000005,CL-00005,CM-011,2024-11-11,Outbound,61,Connected
CALL-0000033,CASE-000005,CL-00005,CM-011,2025-01-27,Outbound,378,Voicemail
CALL-0000034,CASE-000005,CL-00005,CM-011,2024-11-02,Inbound,212,Connected
CALL-0000035,CASE-000005,CL-00005,CM-011,2025-01-06,Inbound,163,Connected
CALL-0000036,CASE-000005,CL-00005,CM-011,2024-12-04,Outbound,61,Callback Requested
CALL-0000037,CASE-000006,CL-00006,CM-015,2025-03-27,Outbound,0,Connected
CALL-0000038,CASE-000006,CL-00006,CM-015,2025-04-12,Outbound,125,Connected
CALL-0000039,CASE-000006,CL-00006,CM-015,2025-01-17,Outbound,90,Connected
CALL-0000040,CASE-000006,CL-00006,CM-015,2025-03-09,Outbound,168,No Answer
CALL-0000041,CASE-000006,CL-00006,CM-015,2024-10-17,Inbound,422,Connected
CALL-0000042,CASE-000006,CL-00006,CM-015,2025-05-01,Inbound,47,Voicemail
CALL-0000043,CASE-000006,CL-00006,CM-015,2024-10-15,Outbound,86,No Answer
CALL-0000044,CASE-000006,CL-00006,CM-015,2025-04-23,Inbound,62,Connected
CALL-0000045,CASE-000006,CL-00006,CM-015,2024-12-09,Inbound,65,Connected
CALL-0000046,CASE-000006,CL-00006,CM-015,2025-01-29,Inbound,28,Callback Requested
CALL-0000047,CASE-000006,CL-00006,CM-015,2025-02-09,Outbound,150,No Answer
CALL-0000048,CASE-000006,CL-00006,CM-015,2024-12-11,Outbound,30,No Answer
CALL-0000049,CASE-000006,CL-00006,CM-015,2025-02-11,Outbound,15,Connected
