case_id,client_id,case_type,state,intake_date,date_opened,date_closed,case_status,current_stage,assigned_case_manager,attorney_id,days_in_stage,medical_records_received,missing_documents,communication_count,workup_completed,case_outcome,settlement_amount,workup_completed_date,last_activity_date
CASE-000001,CL-00001,Dog Bite,NJ,2023-11-13,2023-11-16,2025-06-30,Settled,Resolved,CM-014,ATT-010,23,1,0,13,1,Settled,36880.93,2024-01-13,2025-06-19
CASE-000002,CL-00002,Motor Vehicle Accident,IL,2025-03-26,2025-03-31,,In Workup,Records Received,CM-009,ATT-004,42,1,2,8,0,In Progress,,,2025-05-29
CASE-000003,CL-00003,Premises Liability,NY,2025-01-02,2025-01-04,,Active - Intake,Intake,CM-005,ATT-006,3,1,5,9,0,In Progress,,,2025-06-18
CASE-000004,CL-00004,Premises Liability,AZ,2024-12-03,2024-12-05,,In Negotiation,Demand Sent,CM-011,ATT-004,38,0,0,5,1,In Progress,,2025-02-18,2025-05-23
CASE-000005,CL-00005,Slip and Fall,NJ,2024-06-16,2024-06-21,,In Negotiation,Demand Sent,CM-011,ATT-005,35,1,2,13,1,In Progress,,2024-09-11,2025-06-22
CASE-000006,CL-00006,Mass Tort - Camp Lejeune,VA,2024-10-04,2024-10-04,2025-06-23,Closed-Lost,Resolved,CM-015,ATT-007,51,1,2,13,1,Dismissed,,2024-12-25,2025-06-11
CASE-000007,CL-00007,Premises Liability,NY,2024-09-07,2024-09-10,,In Workup,Workup Complete,CM-018,ATT-012,7,1,1,10,1,In Progress,,2024-11-16,2025-06-01
CASE-000008,CL-00008,Medical Malpractice,NJ,2024-10-18,2024-10-19,,In Workup,Workup Complete,CM-004,ATT-005,70,0,0,7,1,In Progress,,2025-01-04,2025-06-29
CASE-000009,CL-00009,Motor Vehicle Accident,TX,2023-09-04,2023-09-06,,Pending Records,Records Requested,CM-002,ATT-005,55,1,3,5,0,In Progress,,,2025-06-11
CASE-000010,CL-00010,Workers Compensation,AZ,2024-06-07,2024-06-11,,In Negotiation,Demand Sent,CM-013,ATT-008,62,0,0,9,1,In Progress,,2024-08-29,2025-06-21
CASE-000011,CL-00010,Mass Tort - Camp Lejeune,AZ,2024-06-07,2024-06-11,,In Workup,Workup Complete,CM-016,ATT-009,66,1,0,12,1,In Progress,,2024-08-07,2025-06-26
CASE-000012,CL-00011,Mass Tort - Roundup,NJ,2023-08-03,2023-08-05,,In Workup,Workup Complete,CM-004,ATT-001,76,1,1,7,1,In Progress,,2023-10-08,2025-06-10
CASE-000013,CL-00012,Mass Tort - Roundup,TX,2024-07-18,2024-07-22,,In Workup,Records Received,CM-014,ATT-012,22,0,2,10,0,In Progress,,,2025-06-12
CASE-000014,CL-00013,Premises Liability,PA,2024-04-09,2024-04-12,,In Negotiation,Demand Sent,CM-011,ATT-001,39,1,0,8,1,In Progress,,2024-06-04,2025-06-17
CASE-000015,CL-00013,Motor Vehicle Accident,PA,2024-04-09,2024-04-12,,In Negotiation,Demand Sent,CM-016,ATT-011,25,1,4,7,1,In Progress,,2024-07-21,2025-06-29
CASE-000016,CL-00014,Mass Tort - Talcum,FL,2023-10-19,2023-10-23,,In Negotiation,Negotiation,CM-009,ATT-007,57,1,1,8,1,In Progress,,2023-12-27,2025-06-22
