document_id,case_id,document_type,status,requested_date,received_date
DOC-0000001,CASE-000001,Demand Letter,Received,2023-12-07,2024-01-11
DOC-0000002,CASE-000001,Retainer Agreement,Received,2023-12-02,2023-12-31
DOC-0000003,CASE-000001,Witness Statement,Received,2023-12-05,2023-12-28
DOC-0000004,CASE-000001,Medical Bill,Received,2023-11-26,2023-12-07
DOC-0000005,CASE-000001,Insurance Declaration,Received,2023-12-13,2023-12-17
DOC-0000006,CASE-000001,Witness Statement,Received,2023-12-14,2023-12-27
DOC-0000007,CASE-000002,HIPAA Authorization,Received,2025-04-08,2025-05-01
DOC-0000008,CASE-000002,Retainer Agreement,Received,2025-04-06,2025-05-03
DOC-0000009,CASE-000002,Witness Statement,Missing,2025-04-26,
DOC-0000010,CASE-000002,Retainer Agreement,Received,2025-04-27,2025-05-11
DOC-0000011,CASE-000002,Demand Letter,Missing,2025-04-24,
DOC-0000012,CASE-000003,Insurance Declaration,Missing,2025-01-07,
DOC-0000013,CASE-000003,Retainer Agreement,Missing,2025-01-16,
DOC-0000014,CASE-000003,HIPAA Authorization,Missing,2025-01-31,
DOC-0000015,CASE-000003,Medical Bill,Missing,2025-01-13,
DOC-0000016,CASE-000004,Medical Bill,Received,2024-12-31,2025-01-18
DOC-0000017,CASE-000004,Retainer Agreement,Received,2024-12-08,2024-12-29
DOC-0000018,CASE-000004,Retainer Agreement,Received,2024-12-17,2025-01-24
DOC-0000019,CASE-000005,Medical Bill,Received,2024-06-25,2024-07-04
DOC-0000020,CASE-000005,Medical Bill,Missing,2024-07-14,
DOC-0000021,CASE-000005,Medical Bill,Received,2024-07-05,2024-08-08
DOC-0000022,CASE-000005,Retainer Agreement,Received,2024-07-17,2024-07-21
DOC-0000023,CASE-000005,Police Report,Received,2024-07-13,2024-08-17
DOC-0000024,CASE-000005,Demand Letter,Missing,2024-07-07,
DOC-0000025,CASE-000005,HIPAA Authorization,Received,2024-06-24,2024-06-27
DOC-0000026,CASE-000006,Photo Evidence,Received,2024-10-19,2024-12-02
DOC-0000027,CASE-000006,Police Report,Received,2024-10-04,2024-10-28
DOC-0000028,CASE-000006,HIPAA Authorization,Missing,2024-10-18,
DOC-0000029,CASE-000006,HIPAA Authorization,Missing,2024-10-14,
DOC-0000030,CASE-000007,Medical Bill,Received,2024-09-29,2024-11-06
DOC-0000031,CASE-000007,Insurance Declaration,Received,2024-10-07,2024-10-11
DOC-0000032,CASE-000007,Retainer Agreement,Missing,2024-09-28,
DOC-0000033,CASE-000007,Demand Letter,Received,2024-09-29,2024-10-20
DOC-0000034,CASE-000008,Witness Statement,Received,2024-11-17,2024-11-23
DOC-0000035,CASE-000008,Medical Bill,Received,2024-10-31,2024-12-06
DOC-0000036,CASE-000008,Medical Bill,Received,2024-11-15,2024-12-12
DOC-0000037,CASE-000008,Wage Loss Statement,Received,2024-11-09,2024-11-16
DOC-0000038,CASE-000008,Insurance Declaration,Received,2024-10-25,2024-12-05
DOC-0000039,CASE-000008,Witness Statement,Received,2024-11-11,2024-11-15
DOC-0000040,CASE-000009,Wage Loss Statement,Missing,2023-09-29,
DOC-0000041,CASE-000009,Witness Statement,Received,2023-09-09,2023-10-01
DOC-0000042,CASE-000009,Medical Bill,Received,2023-09-30,2023-11-03
DOC-0000043,CASE-000009,HIPAA Authorization,Received,2023-09-19,2023-10-25
DOC-0000044,CASE-000009,Insurance Declaration,Missing,2023-10-01,
DOC-0000045,CASE-000009,Insurance Declaration,Missing,2023-09-12,
DOC-0000046,CASE-000010,HIPAA Authorization,Received,2024-06-17,2024-06-25
DOC-0000047,CASE-000010,Demand Letter,Received,2024-07-01,2024-07-03
DOC-0000048,CASE-000010,Demand Letter,Received,2024-06-13,2024-07-08
DOC-0000049,CASE-000010,Insurance Declaration,Received,2024-06-30,2024-07-21
DOC-0000050,CASE-000010,Insurance Declaration,Received,2024-07-09,2024-07-30
DOC-0000051,CASE-000010,Witness Statement,Received,2024-07-02,2024-07-29
DOC-0000052,CASE-000010,Insurance Declaration,Received,2024-06-28,2024-07-13
DOC-0000053,CASE-000011,Demand Letter,Received,2024-06-11,2024-07-06
DOC-0000054,CASE-000011,HIPAA Authorization,Received,2024-06-16,2024-07-23
DOC-0000055,CASE-000011,Retainer Agreement,Received,2024-06-13,2024-06-24
DOC-0000056,CASE-000011,Wage Loss Statement,Received,2024-06-22,2024-06-27
DOC-0000057,CASE-000011,Insurance Declaration,Received,2024-07-07,2024-07-25
DOC-0000058,CASE-000011,Police Report,Received,2024-07-05,2024-07-09
DOC-0000059,CASE-000011,Photo Evidence,Received,2024-07-08,2024-08-06
DOC-0000060,CASE-000011,Retainer Agreement,Received,2024-06-16,2024-07-01
DOC-0000061,CASE-000012,Insurance Declaration,Missing,2023-08-22,
DOC-0000062,CASE-000012,Retainer Agreement,Received,2023-08-31,2023-09-16
DOC-0000063,CASE-000012,Photo Evidence,Received,2023-08-23,2023-08-29
DOC-0000064,CASE-000012,Retainer Agreement,Received,2023-08-15,2023-09-24
DOC-0000065,CASE-000012,Photo Evidence,Received,2023-08-19,2023-09-15
DOC-0000066,CASE-000012,Photo Evidence,Received,2023-08-25,2023-09-25
DOC-0000067,CASE-000012,Photo Evidence,Received,2023-08-07,2023-09-07
DOC-0000068,CASE-000013,Witness Statement,Received,2024-08-06,2024-08-21
DOC-0000069,CASE-000013,Witness Statement,Received,2024-08-14,2024-08-25
DOC-0000070,CASE-000013,Medical Bill,Missing,2024-08-11,
DOC-0000071,CASE-000013,Demand Letter,Missing,2024-07-22,
